               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.035257,            0.018337,            0.049256,             0.37321,             0.41276,             0.35745,             0.24212,            0.023384,           0.0072919,            0.044589,           0.0047406,           0.0047406,           0.0047406
                  36,            0.035809,            0.017874,            0.047551,             0.38532,              0.4217,             0.38271,             0.25808,            0.023396,           0.0071191,            0.043707,           0.0045859,           0.0045859,           0.0045859
                  37,            0.035131,            0.017837,            0.048575,             0.41672,             0.41139,             0.37472,             0.25493,            0.022689,           0.0071781,            0.043306,           0.0044313,           0.0044313,           0.0044313
                  38,            0.034343,            0.017643,            0.047519,             0.40538,             0.41389,             0.38897,             0.26759,            0.022625,           0.0071238,            0.041954,           0.0042766,           0.0042766,           0.0042766
                  39,            0.034499,              0.0174,            0.047362,             0.40683,             0.43586,             0.40442,             0.27875,            0.022559,           0.0070309,             0.04224,           0.0041219,           0.0041219,           0.0041219
                  40,            0.034048,            0.017571,            0.045908,             0.40493,             0.44383,             0.39826,             0.27478,             0.02231,           0.0070605,            0.041099,           0.0039672,           0.0039672,           0.0039672
                  41,            0.033559,            0.017525,            0.044294,              0.4089,             0.45844,             0.41231,             0.28395,            0.022291,           0.0070457,            0.041624,           0.0038125,           0.0038125,           0.0038125
                  42,            0.033316,            0.017494,            0.044149,             0.41004,             0.43957,             0.41362,             0.29128,            0.022276,           0.0070062,            0.040637,           0.0036578,           0.0036578,           0.0036578
                  43,            0.033376,            0.017286,             0.04454,             0.44162,             0.43858,              0.4202,             0.29329,            0.021831,           0.0069708,            0.039729,           0.0035031,           0.0035031,           0.0035031
                  44,            0.033014,            0.017167,            0.044315,             0.42325,             0.46901,             0.42411,             0.29648,            0.021926,           0.0070675,            0.040518,           0.0033484,           0.0033484,           0.0033484
                  45,            0.033063,            0.017377,            0.041849,             0.42735,             0.46153,             0.43165,             0.30313,            0.021942,           0.0069326,            0.039825,           0.0031938,           0.0031938,           0.0031938
