Class,X1,Y1,X2,Y2,Confidence
Cicadellidae,0.0,220.00911,586.86383,683.462,0.35194772
Cicadellidae,0.5708008,214.76224,591.9328,675.0941,0.40961212
Cicadellidae,0.0,196.50557,589.0257,673.21674,0.4114039
Cicadellidae,0.0,198.5421,594.53345,665.869,0.31287336
Cicadellidae,3.1774902,197.65256,599.7582,662.5383,0.31079024
Cicadellidae,5.051178,186.03401,598.85864,662.77136,0.44593236
Cicadellidae,4.152832,180.54265,597.6023,667.3476,0.502256
Cicadellidae,3.178833,183.14743,595.95337,669.0238,0.42502385
Cicadellidae,1.6290283,180.86191,594.95074,663.7014,0.42246845
Cicadellidae,2.9088745,185.66168,592.44464,656.5704,0.30791733
Cicadellidae,1.3117676,183.39232,591.71985,656.8895,0.39552456
Cicadellidae,3.4466248,181.36256,589.15784,662.3655,0.50908095
Cicadellidae,4.457245,194.96307,590.05615,667.3898,0.45850074
Cicadellidae,1.7700806,208.21715,587.8615,687.8445,0.41128296
Cicadellidae,1.4949036,213.43141,589.07446,698.99963,0.32434136
Cicadellidae,2.1352234,217.68289,590.572,697.3279,0.44315985
Cicadellidae,1.8848572,210.28133,586.062,705.4416,0.53833026
Cicadellidae,1.8122559,219.9217,586.93445,704.7625,0.52798784
Cicadellidae,0.8982849,217.15334,583.35876,702.55725,0.58834225
Cicadellidae,3.4795837,214.69771,590.1127,699.64685,0.54920316
Cicadellidae,0.82577515,220.00885,592.20215,692.038,0.53575915
Cicadellidae,2.0387573,214.90298,594.23645,695.70447,0.32360572
Cicadellidae,2.212494,209.83582,597.0464,703.7656,0.4105534
Cicadellidae,2.879486,211.81137,600.22705,697.6476,0.42482096
Cicadellidae,1.8834839,208.03868,597.4942,698.6678,0.38799402
Cicadellidae,3.4914856,214.20131,603.147,697.9199,0.37576097
Cicadellidae,0.0,214.39534,594.9884,705.40063,0.39344808
Cicadellidae,1.8387756,218.05809,598.9833,701.9531,0.34231633
